ID,chr,name,fam,str,start,end,chr_size
59.te00005,9,chr9_9.00358,2,-,217295,217687,573441
59.te00006,9,chr9_9.00359,2,+,224126,224524,573441
59.te00007,9,chr9_9.00360,2,+,234934,235158,573441
59.te00010,9,chr9_9.00362,2,-,406642,406881,573441
59.te00011,9,chr9_9.00363,2,+,413803,414373,573441
59.te00013,9,chr9_9.00364,2,-,425129,425732,573441
59.te00014,9,chr9_9.00365,2,-,430061,430634,573441
59.te00015,9,chr9_9.00366,2,-,443487,444062,573441
59.te00016,9,chr9_9.00367,2,-,498591,499063,573441
59.te00017,9,chr9_9.00368,2,+,506279,506606,573441
59.te00018,9,chr9_9.00369,2,-,514561,515018,573441
59.te00019,9,chr9_9.00370,2,+,519783,520193,573441
59.te00020,9,chr9_9.00371,2,-,530166,530646,573441
60.te00007,10,chr10_10.00446,1,+,31489,32354,570864
60.te00004,10,chr10_10.00453,1,-,211539,212466,570864
60.te00014,10,chr10_10.00460,1,-,483320,483648,570864
60.te00016,10,chr10_10.00462,1,-,514361,515209,570864
60.te00008,10,chr10_10.00445,2,-,2738,3314,570864
60.te00012,10,chr10_10.00447,2,+,35222,35746,570864
60.te00024,10,chr10_10.00448,2,+,72999,73626,570864
60.te00025,10,chr10_10.00449,2,+,91105,91729,570864
60.te00001,10,chr10_10.00450,2,+,161146,161602,570864
60.te00002,10,chr10_10.00451,2,+,184806,185324,570864
60.te00003,10,chr10_10.00452,2,+,193220,193696,570864
60.te00005,10,chr10_10.00454,2,+,241517,242154,570864
60.te00006,10,chr10_10.00455,2,+,267766,268422,570864
60.te00009,10,chr10_10.00456,2,-,341889,342537,570864
60.te00010,10,chr10_10.00457,2,-,344732,345368,570864
60.te00011,10,chr10_10.00458,2,-,347563,348199,570864
60.te00013,10,chr10_10.00459,2,+,457452,458075,570864
60.te00015,10,chr10_10.00461,2,-,511911,512475,570864
60.te00017,10,chr10_10.00463,2,+,529527,530109,570864
60.te00018,10,chr10_10.00464,2,+,536509,537091,570864
60.te00019,10,chr10_10.00465,2,+,541770,542337,570864
60.te00020,10,chr10_10.00466,2,+,543991,544553,570864
60.te00021,10,chr10_10.00467,2,+,547215,547781,570864
60.te00022,10,chr10_10.00468,2,+,554605,555179,570864
60.te00023,10,chr10_10.00469,2,+,566480,567052,570864
61.te00002,11,chr11_11.00331,1,+,103849,104197,582575
61.te00006,11,chr11_11.00334,1,+,159134,160051,582575
61.te00012,11,chr11_11.00340,1,+,194294,194777,582575
61.te00014,11,chr11_11.00341,1,+,208610,209624,582575
61.te00015,11,chr11_11.00342,1,+,252041,252571,582575
61.te00020,11,chr11_11.00347,1,+,357921,358884,582575
61.te00005,11,chr11_11.00327,2,+,15300,15608,582575
61.te00013,11,chr11_11.00328,2,+,20530,20838,582575
61.te00025,11,chr11_11.00329,2,+,40675,40984,582575
61.te00028,11,chr11_11.00330,2,+,55892,56460,582575
61.te00003,11,chr11_11.00332,2,-,120055,120617,582575
61.te00004,11,chr11_11.00333,2,-,123050,123575,582575
61.te00007,11,chr11_11.00335,2,+,162121,162664,582575
61.te00008,11,chr11_11.00336,2,+,163729,164248,582575
61.te00009,11,chr11_11.00337,2,+,177074,177616,582575
61.te00010,11,chr11_11.00338,2,+,188266,188797,582575
61.te00011,11,chr11_11.00339,2,+,192111,192658,582575
61.te00016,11,chr11_11.00343,2,+,255908,256604,582575
61.te00017,11,chr11_11.00344,2,+,283166,283807,582575
61.te00018,11,chr11_11.00345,2,+,294782,295409,582575
61.te00019,11,chr11_11.00346,2,+,337654,338230,582575
61.te00021,11,chr11_11.00348,2,+,364824,365283,582575
61.te00022,11,chr11_11.00349,2,+,380045,380502,582575
61.te00023,11,chr11_11.00350,2,+,389833,390296,582575
61.te00024,11,chr11_11.00351,2,+,404985,405444,582575
61.te00026,11,chr11_11.00352,2,+,463050,463441,582575
61.te00027,11,chr11_11.00353,2,+,540775,541410,582575
61.te00029,11,chr11_11.00354,2,-,569201,569824,582575
62.te00032,12,chr12_12.00387,1,+,65155,66023,675238
62.te00003,12,chr12_12.00389,1,+,109534,110215,675238
62.te00008,12,chr12_12.00394,1,-,230027,231087,675238
62.te00011,12,chr12_12.00397,1,-,284030,285093,675238
62.te00014,12,chr12_12.00400,1,+,308877,309358,675238
62.te00026,12,chr12_12.00410,1,+,565524,565993,675238
62.te00028,12,chr12_12.00412,1,+,603686,604571,675238
62.te00030,12,chr12_12.00414,1,+,618285,619143,675238
62.te00033,12,chr12_12.00416,1,+,655809,656358,675238
62.te00034,12,chr12_12.00417,1,+,657335,658190,675238
62.te00016,12,chr12_12.00385,2,+,34647,35191,675238
62.te00018,12,chr12_12.00386,2,-,39742,40325,675238
62.te00035,12,chr12_12.00388,2,+,91309,91788,675238
62.te00004,12,chr12_12.00390,2,-,110068,110637,675238
62.te00005,12,chr12_12.00391,2,+,124803,125312,675238
62.te00006,12,chr12_12.00392,2,+,137039,137603,675238
62.te00007,12,chr12_12.00393,2,-,179374,179949,675238
62.te00009,12,chr12_12.00395,2,-,269877,270472,675238
62.te00010,12,chr12_12.00396,2,-,282968,283286,675238
62.te00012,12,chr12_12.00398,2,+,289904,290381,675238
62.te00013,12,chr12_12.00399,2,+,301008,301372,675238
62.te00015,12,chr12_12.00401,2,+,327525,328105,675238
62.te00017,12,chr12_12.00402,2,+,386605,387165,675238
62.te00019,12,chr12_12.00403,2,+,394538,395099,675238
62.te00020,12,chr12_12.00404,2,+,407661,408232,675238
62.te00021,12,chr12_12.00405,2,+,447391,447951,675238
62.te00022,12,chr12_12.00406,2,+,462769,463329,675238
62.te00023,12,chr12_12.00407,2,+,491331,491891,675238
62.te00024,12,chr12_12.00408,2,+,526727,527287,675238
62.te00025,12,chr12_12.00409,2,+,535463,536023,675238
62.te00027,12,chr12_12.00411,2,+,584733,585309,675238
62.te00029,12,chr12_12.00413,2,+,604576,605141,675238
62.te00031,12,chr12_12.00415,2,+,633595,634106,675238
63.te00013,13,chr13_13.00427,1,+,36815,37116,654604
63.te00027,13,chr13_13.00428,1,+,59512,59826,654604
63.te00031,13,chr13_13.00431,1,-,82998,83696,654604
63.te00003,13,chr13_13.00433,1,+,146183,146877,654604
63.te00004,13,chr13_13.00434,1,+,149851,150291,654604
63.te00005,13,chr13_13.00435,1,+,170269,170968,654604
63.te00006,13,chr13_13.00436,1,-,198659,199070,654604
63.te00007,13,chr13_13.00437,1,+,215659,216533,654604
63.te00011,13,chr13_13.00440,1,-,306886,307244,654604
63.te00015,13,chr13_13.00443,1,-,457288,457593,654604
63.te00017,13,chr13_13.00445,1,-,486917,487319,654604
63.te00019,13,chr13_13.00447,1,-,502638,503702,654604
63.te00020,13,chr13_13.00448,1,+,551603,552664,654604
63.te00025,13,chr13_13.00453,1,-,590271,591151,654604
63.te00010,13,chr13_13.00426,2,-,26150,26702,654604
63.te00028,13,chr13_13.00429,2,-,61205,61738,654604
63.te00030,13,chr13_13.00430,2,-,66060,66523,654604
63.te00002,13,chr13_13.00432,2,-,135964,136513,654604
63.te00008,13,chr13_13.00438,2,-,234680,235210,654604
63.te00009,13,chr13_13.00439,2,+,258400,258883,654604
63.te00012,13,chr13_13.00441,2,-,361914,362564,654604
63.te00014,13,chr13_13.00442,2,-,413237,413782,654604
63.te00016,13,chr13_13.00444,2,-,480172,480786,654604
63.te00018,13,chr13_13.00446,2,+,502030,502626,654604
63.te00021,13,chr13_13.00449,2,-,552676,553272,654604
63.te00022,13,chr13_13.00450,2,-,564245,564844,654604
63.te00023,13,chr13_13.00451,2,-,573422,574052,654604
63.te00024,13,chr13_13.00452,2,-,581440,582026,654604
63.te00026,13,chr13_13.00454,2,+,593756,594334,654604
63.te00029,13,chr13_13.00455,2,-,623099,623715,654604
64.te00010,14,chr14_14.00368,1,-,193413,194045,622648
64.te00011,14,chr14_14.00369,1,-,211249,211462,622648
64.te00017,14,chr14_14.00375,1,+,269551,269981,622648
64.te00018,14,chr14_14.00376,1,-,298548,298976,622648
64.te00019,14,chr14_14.00377,1,-,354325,355123,622648
64.te00021,14,chr14_14.00379,1,-,387369,387650,622648
64.te00022,14,chr14_14.00380,1,+,408207,408660,622648
64.te00025,14,chr14_14.00382,1,-,504007,504497,622648
64.te00026,14,chr14_14.00383,1,+,517698,518134,622648
64.te00031,14,chr14_14.00388,1,-,557470,557778,622648
64.te00033,14,chr14_14.00390,1,+,588046,588444,622648
64.te00009,14,chr14_14.00357,2,+,19249,19731,622648
64.te00023,14,chr14_14.00358,2,+,41476,41955,622648
64.te00036,14,chr14_14.00359,2,-,95887,96425,622648
64.te00001,14,chr14_14.00360,2,+,102801,103366,622648
64.te00002,14,chr14_14.00361,2,+,107301,107837,622648
64.te00003,14,chr14_14.00362,2,+,126809,127372,622648
64.te00004,14,chr14_14.00363,2,+,130262,130820,622648
64.te00005,14,chr14_14.00364,2,+,133710,134259,622648
64.te00006,14,chr14_14.00365,2,-,154925,155447,622648
64.te00007,14,chr14_14.00366,2,+,161405,161772,622648
64.te00008,14,chr14_14.00367,2,+,164089,164625,622648
64.te00012,14,chr14_14.00370,2,-,247019,247613,622648
64.te00013,14,chr14_14.00371,2,-,249008,249602,622648
64.te00014,14,chr14_14.00372,2,-,251982,252578,622648
64.te00015,14,chr14_14.00373,2,-,253973,254541,622648
64.te00016,14,chr14_14.00374,2,+,262560,263145,622648
64.te00020,14,chr14_14.00378,2,-,382002,382620,622648
64.te00024,14,chr14_14.00381,2,-,426472,426942,622648
64.te00027,14,chr14_14.00384,2,+,523956,524546,622648
64.te00028,14,chr14_14.00385,2,+,547284,547845,622648
64.te00029,14,chr14_14.00386,2,+,550365,550952,622648
64.te00030,14,chr14_14.00387,2,-,554546,555140,622648
64.te00032,14,chr14_14.00389,2,+,578958,579466,622648
64.te00034,14,chr14_14.00391,2,-,611654,612233,622648
64.te00035,14,chr14_14.00392,2,-,620230,620799,622648
65.te00022,15,chr15_15.00419,1,-,85998,86373,629514
65.te00010,15,chr15_15.00426,1,-,344918,345130,629514
65.te00013,15,chr15_15.00429,1,-,414872,415252,629514
65.te00016,15,chr15_15.00431,1,-,509894,510253,629514
65.te00017,15,chr15_15.00432,1,-,517507,518416,629514
65.te00023,15,chr15_15.00413,2,-,9098,9693,629514
65.te00003,15,chr15_15.00414,2,-,12378,12983,629514
65.te00004,15,chr15_15.00415,2,+,21497,22088,629514
65.te00015,15,chr15_15.00416,2,+,46101,46649,629514
65.te00020,15,chr15_15.00417,2,+,76454,77032,629514
65.te00021,15,chr15_15.00418,2,-,81012,81590,629514
65.te00002,15,chr15_15.00420,2,+,106685,107238,629514
65.te00005,15,chr15_15.00421,2,+,238388,238964,629514
65.te00006,15,chr15_15.00422,2,+,256259,256750,629514
65.te00007,15,chr15_15.00423,2,+,276550,277130,629514
65.te00008,15,chr15_15.00424,2,-,325991,326265,629514
65.te00009,15,chr15_15.00425,2,-,335122,335408,629514
65.te00011,15,chr15_15.00427,2,-,385507,386114,629514
65.te00012,15,chr15_15.00428,2,-,398393,399010,629514
65.te00014,15,chr15_15.00430,2,-,452092,452696,629514
65.te00018,15,chr15_15.00433,2,-,544503,545137,629514
65.te00019,15,chr15_15.00434,2,+,568322,568955,629514
66.te00001,16,chr16_16.00326,1,-,125441,126249,712836
66.te00005,16,chr16_16.00330,1,-,177805,178269,712836
66.te00012,16,chr16_16.00335,1,+,390926,391573,712836
66.te00015,16,chr16_16.00337,1,-,436659,437333,712836
66.te00020,16,chr16_16.00342,1,-,557489,558355,712836
66.te00023,16,chr16_16.00344,1,-,610054,610497,712836
66.te00006,16,chr16_16.00320,2,-,17433,18097,712836
66.te00009,16,chr16_16.00321,2,-,21621,22251,712836
66.te00013,16,chr16_16.00322,2,-,41098,41751,712836
66.te00021,16,chr16_16.00323,2,-,61972,62583,712836
66.te00025,16,chr16_16.00324,2,-,65701,66341,712836
66.te00027,16,chr16_16.00325,2,-,85101,85779,712836
66.te00002,16,chr16_16.00327,2,-,146657,147214,712836
66.te00003,16,chr16_16.00328,2,-,152713,153043,712836
66.te00004,16,chr16_16.00329,2,-,173286,173766,712836
66.te00007,16,chr16_16.00331,2,-,192207,192555,712836
66.te00008,16,chr16_16.00332,2,+,205806,206388,712836
66.te00010,16,chr16_16.00333,2,-,268585,269168,712836
66.te00011,16,chr16_16.00334,2,-,311080,311615,712836
66.te00014,16,chr16_16.00336,2,+,415000,415533,712836
66.te00016,16,chr16_16.00338,2,-,443854,444341,712836
66.te00017,16,chr16_16.00339,2,-,446420,446764,712836
66.te00018,16,chr16_16.00340,2,-,488538,488902,712836
66.te00019,16,chr16_16.00341,2,-,556901,557467,712836
66.te00022,16,chr16_16.00343,2,-,609510,610043,712836
66.te00024,16,chr16_16.00345,2,-,617580,618167,712836
66.te00026,16,chr16_16.00346,2,-,670679,671267,712836
67.te00030,17,chr17_17.00370,1,-,29574,29686,684831
67.te00031,17,chr17_17.00371,1,-,29698,30377,684831
67.te00032,17,chr17_17.00372,1,-,30398,30626,684831
67.te00001,17,chr17_17.00374,1,+,66603,66891,684831
67.te00007,17,chr17_17.00380,1,-,175378,175990,684831
67.te00009,17,chr17_17.00382,1,+,225154,225555,684831
67.te00010,17,chr17_17.00383,1,-,251897,252086,684831
67.te00011,17,chr17_17.00384,1,-,280067,280971,684831
67.te00012,17,chr17_17.00385,1,+,281621,281861,684831
67.te00013,17,chr17_17.00386,1,+,291610,291860,684831
67.te00023,17,chr17_17.00396,1,-,375393,375617,684831
67.te00024,17,chr17_17.00397,1,+,395850,396680,684831
67.te00026,17,chr17_17.00399,1,+,428204,428665,684831
67.te00027,17,chr17_17.00400,1,+,443642,444080,684831
67.te00029,17,chr17_17.00402,1,+,494279,494621,684831
67.te00033,17,chr17_17.00403,1,-,553745,554048,684831
67.te00035,17,chr17_17.00405,1,-,590565,591033,684831
67.te00039,17,chr17_17.00409,1,+,642116,642577,684831
67.te00041,17,chr17_17.00373,2,-,41210,41915,684831
67.te00002,17,chr17_17.00375,2,-,67465,68122,684831
67.te00003,17,chr17_17.00376,2,-,131381,132033,684831
67.te00004,17,chr17_17.00377,2,+,151403,152085,684831
67.te00005,17,chr17_17.00378,2,-,159660,160329,684831
67.te00006,17,chr17_17.00379,2,-,166702,167362,684831
67.te00008,17,chr17_17.00381,2,-,219882,220569,684831
67.te00014,17,chr17_17.00387,2,+,293266,293770,684831
67.te00015,17,chr17_17.00388,2,+,296060,296575,684831
67.te00016,17,chr17_17.00389,2,+,332671,333258,684831
67.te00017,17,chr17_17.00390,2,+,344006,344582,684831
67.te00018,17,chr17_17.00391,2,+,349525,350100,684831
67.te00019,17,chr17_17.00392,2,-,354435,355018,684831
67.te00020,17,chr17_17.00393,2,+,356934,357536,684831
67.te00021,17,chr17_17.00394,2,+,357922,358491,684831
67.te00022,17,chr17_17.00395,2,-,362703,363272,684831
67.te00025,17,chr17_17.00398,2,+,399317,399891,684831
67.te00028,17,chr17_17.00401,2,+,488944,489535,684831
67.te00034,17,chr17_17.00404,2,+,564118,564681,684831
67.te00036,17,chr17_17.00406,2,+,596393,597050,684831
67.te00037,17,chr17_17.00407,2,+,607674,608225,684831
67.te00038,17,chr17_17.00408,2,+,613777,614383,684831
67.te00040,17,chr17_17.00410,2,+,644686,645249,684831
68.te00016,18,chr18_18.00475,1,-,19558,20417,739751
68.te00030,18,chr18_18.00476,1,+,42557,43000,739751
68.te00050,18,chr18_18.00478,1,-,67010,67489,739751
68.te00061,18,chr18_18.00480,1,-,81313,82172,739751
68.te00003,18,chr18_18.00482,1,+,105000,105306,739751
68.te00005,18,chr18_18.00484,1,-,111764,112026,739751
68.te00004,18,chr18_18.00483,1,+,111793,112012,739751
68.te00009,18,chr18_18.00488,1,-,159216,159620,739751
68.te00011,18,chr18_18.00490,1,-,166287,166718,739751
68.te00013,18,chr18_18.00492,1,+,175838,176072,739751
68.te00014,18,chr18_18.00493,1,+,176075,177060,739751
68.te00015,18,chr18_18.00494,1,+,177063,178036,739751
68.te00017,18,chr18_18.00495,1,-,181889,182091,739751
68.te00020,18,chr18_18.00498,1,-,238068,238586,739751
68.te00021,18,chr18_18.00499,1,+,240836,241305,739751
68.te00022,18,chr18_18.00500,1,-,247595,248007,739751
68.te00024,18,chr18_18.00502,1,-,270762,271349,739751
68.te00025,18,chr18_18.00503,1,-,273170,273838,739751
68.te00026,18,chr18_18.00504,1,-,273984,274174,739751
68.te00027,18,chr18_18.00505,1,+,292415,293357,739751
68.te00028,18,chr18_18.00506,1,-,302577,302846,739751
68.te00031,18,chr18_18.00508,1,+,422952,423163,739751
68.te00032,18,chr18_18.00509,1,-,439147,439927,739751
68.te00033,18,chr18_18.00510,1,-,439956,440523,739751
68.te00034,18,chr18_18.00511,1,-,443110,443479,739751
68.te00037,18,chr18_18.00514,1,+,472518,473458,739751
68.te00038,18,chr18_18.00515,1,+,483898,484270,739751
68.te00039,18,chr18_18.00516,1,+,485415,486150,739751
68.te00042,18,chr18_18.00519,1,+,550979,551431,739751
68.te00047,18,chr18_18.00523,1,-,582153,582412,739751
68.te00048,18,chr18_18.00524,1,+,620243,621164,739751
68.te00049,18,chr18_18.00525,1,+,632017,632484,739751
68.te00051,18,chr18_18.00526,1,-,649838,650196,739751
68.te00052,18,chr18_18.00527,1,+,658682,659362,739751
68.te00057,18,chr18_18.00531,1,-,695048,695504,739751
68.te00058,18,chr18_18.00532,1,+,709866,710322,739751
68.te00059,18,chr18_18.00533,1,+,719589,719949,739751
68.te00060,18,chr18_18.00534,1,+,721405,722121,739751
68.te00035,18,chr18_18.00512,1,-,444955,445252,739751
68.te00044,18,chr18_18.00477,2,-,58725,59293,739751
68.te00055,18,chr18_18.00479,2,-,71794,72352,739751
68.te00062,18,chr18_18.00481,2,-,99080,99640,739751
68.te00006,18,chr18_18.00485,2,+,118822,119380,739751
68.te00007,18,chr18_18.00486,2,-,128318,128598,739751
68.te00008,18,chr18_18.00487,2,-,150605,151221,739751
68.te00010,18,chr18_18.00489,2,+,165725,166279,739751
68.te00012,18,chr18_18.00491,2,-,175103,175421,739751
68.te00018,18,chr18_18.00496,2,-,214008,214562,739751
68.te00019,18,chr18_18.00497,2,-,223035,223584,739751
68.te00023,18,chr18_18.00501,2,+,269213,269747,739751
68.te00029,18,chr18_18.00507,2,+,388438,388768,739751
68.te00036,18,chr18_18.00513,2,+,470876,471461,739751
68.te00040,18,chr18_18.00517,2,+,507957,508551,739751
